CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn,AverageMonthlyCharges,CustomerLifetimeValue
1,56,Male,One year,70.02,6542.32,Yes,No,66,Yes,Credit card,No,99.1260606060606,4621.32
2,69,Female,Two year,36.06,7535.62,Yes,DSL,59,No,Mailed check,No,127.72237288135592,2127.54
3,46,Female,One year,54.07,2818.41,Yes,DSL,28,Yes,Electronic check,No,100.6575,1513.96
4,32,Female,One year,52.4,4333.11,Yes,Fiber optic,24,No,Credit card,No,180.54625,1257.6
5,60,Female,Month-to-month,78.71,5334.97,Yes,Fiber optic,51,Yes,Electronic check,No,104.60725490196079,4014.2099999999996
6,25,Female,One year,26.67,819.88,No,No,21,Yes,Credit card,No,39.04190476190476,560.07
7,78,Female,One year,102.97,4053.83,No,Fiber optic,31,No,Mailed check,Yes,130.76870967741937,3192.07
8,38,Female,One year,76.24,,Yes,DSL,50,Yes,Bank transfer,No,60.2512,3811.9999999999995
9,56,Female,Month-to-month,87.08,7005.15,No,No,40,No,Electronic check,No,175.12875,3483.2
10,75,Female,Two year,90.31,7038.1,No,Fiber optic,68,Yes,Credit card,No,103.50147058823529,6141.08
11,36,Female,Two year,49.15,5666.08,Yes,DSL,16,No,Bank transfer,No,354.13,786.4
12,40,Female,One year,67.04,5314.65,No,DSL,63,Yes,Electronic check,No,84.35952380952381,4223.52
13,28,Female,Month-to-month,115.62,,No,No,56,No,Electronic check,No,105.76375,6474.72
14,28,Female,One year,96.67,3054.7,Yes,No,24,Yes,Bank transfer,No,127.27916666666665,2320.08
15,41,Female,Two year,116.96,3355.25,No,Fiber optic,28,No,Mailed check,No,119.83035714285714,3274.8799999999997
16,70,Female,Month-to-month,94.63,4518.9,No,Fiber optic,31,No,Bank transfer,No,145.77096774193546,2933.5299999999997
17,53,Female,Two year,37.56,7516.62,No,Fiber optic,15,No,Mailed check,No,501.108,563.4000000000001
18,57,Male,Two year,26.45,,No,Fiber optic,42,No,Credit card,No,139.21904761904761,1110.8999999999999
19,41,Female,Month-to-month,77.77,4497.72,No,No,50,Yes,Mailed check,No,89.9544,3888.5
20,20,Male,Month-to-month,55.78,6209.22,Yes,DSL,5,No,Credit card,No,1241.844,278.9
21,39,Female,One year,47.55,3092.94,Yes,DSL,48,Yes,Credit card,No,64.43625,2282.3999999999996
22,70,Female,One year,100.72,5897.64,Yes,Fiber optic,13,Yes,Credit card,No,453.6646153846154,1309.36
23,19,Male,Two year,56.7,3403.27,Yes,No,32,Yes,Credit card,Yes,106.3521875,1814.4
24,41,Female,Month-to-month,51.7,2381.36,Yes,Fiber optic,67,Yes,Electronic check,No,35.54268656716418,3463.9
25,61,Male,Month-to-month,105.0,4955.85,No,Fiber optic,30,Yes,Credit card,No,165.19500000000002,3150.0
26,47,Male,One year,104.63,,No,No,6,Yes,Electronic check,Yes,926.2733333333334,627.78
27,55,Male,Two year,55.64,3782.49,Yes,DSL,25,Yes,Electronic check,No,151.2996,1391.0
28,19,Female,Two year,103.25,4610.91,Yes,DSL,28,Yes,Credit card,No,164.67535714285714,2891.0
29,77,Female,One year,105.08,5613.72,Yes,Fiber optic,62,No,Mailed check,Yes,90.54387096774194,6514.96
30,38,Female,Month-to-month,62.39,6188.14,No,No,22,No,Mailed check,No,281.27909090909094,1372.58
31,50,Male,One year,26.65,7185.46,No,DSL,68,Yes,Bank transfer,No,105.66852941176471,1812.1999999999998
32,29,Male,One year,20.16,2965.44,No,DSL,15,No,Electronic check,Yes,197.696,302.4
33,75,Female,One year,72.33,,No,No,26,No,Electronic check,No,293.1353846153846,1880.58
34,39,Female,One year,54.41,5170.78,No,No,63,Yes,Mailed check,No,82.07587301587301,3427.83
